company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
極洋,1301,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,4485.0,53269626880.0,0.71999604,15.605429,7.781325,7.584034961619499,0.22559999,0.028824834,576.38,287.4,548.609977030654,302681000000.0,11080000000.0,0.044689998,6740000000.0,0.0,,0.3652267498366435,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,30332100000.0,0.5694070294190129,5450.0,4285.0,0.8229,78300.0,65866.0,53624.0,1.626,,,,,,,,,,,,,,
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,JP,2025-12-31,東京都,464.0,3010020864.0,1.6873463,,,-17.81122735385422,0.0,0.0,-65.61,,-37.11142342231482,91140000.0,-396748000.0,-4.32034,-425671000.0,0.0,-0.21319,0.94639749760201,101036000.0,101035000.0,1865371000.0,,1825213000.0,,1764335000.0,0.5861537443482651,940.0,428.0,0.4936,5500.0,22666.0,33366.0,0.0346,,,-0.234,,,,,,,,,,,
ニッスイ,1332,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,1204.0,365140312064.0,1.2857684,13.553979,13.728621,10.980657689260331,0.3418,0.02473207,87.7,88.83,76.66999989893061,886126000000.0,31783000000.0,0.049089998,25381000000.0,0.03085,0.1066,0.4363657269585653,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,4946100000.0,0.0135457516921141,1570.0,824.0,0.7669,1642200.0,1467983.0,1342654.0,1.1321,,,0.128,,,,,,,,,,,
マルハニチロ,1333,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,1311.5,198269239296.0,0.82813865,5.0,9.044204,7.58488806896855,0.2529,0.027662769,145.01,262.3,137.8699996778207,1078631000000.0,30382000000.0,0.03536,23264000000.0,0.01611,0.08513,0.3369998429267877,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,40029700000.0,0.201895665420085,1589.0,987.5,0.8254,770800.0,454983.0,620764.0,1.2971,,,,,,,,,,,,,,
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,JP,2025-02-28,東京都,3850.0,39485599744.0,26.673687,,60.69683,68.36953009289407,0.0,0.0,63.43,,32.69000089606134,2144641000.0,594987000.0,-0.036140002,425072000.0,0.13646,,0.7590650897301636,451393000.0,451393000.0,1539832000.0,5200000.0,488886000.0,,1088439000.0,0.0275654670831077,3870.0,1910.0,0.9948,297700.0,100516.0,115882.0,2.5696,,,1.611,,,,,,,,,,,
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,JP,2025-03-31,新潟県,1052.0,41956728832.0,2.8852112,6.658228,49.810604,33.21234466552735,0.7579,0.015151516,21.12,158.0,33.84731101918014,53139000000.0,2420000000.0,0.51014,1502000000.0,0.03839,0.1008,0.3265554029787683,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13711800000.0,-0.3268081278429442,1157.0,1000.0,0.9092,38200.0,32866.0,47700.0,0.7767,,,0.173,,,,,,,,,,,
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,JP,2025-05-31,群馬県,1405.0,15407298560.0,0.60296106,,12.086021,13.338485768083302,0.32700002,0.026836159,116.25,,103.28880898088056,64508666000.0,1511651000.0,-0.00068000006,1200256000.0,0.01964,0.05158,0.5071656318283071,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,15555612000.0,1.009626180697572,1859.0,1350.0,0.7558,17100.0,26716.0,19331.0,0.8448,,,0.243,,,,,,,,,,,
サカタのタネ,1377,水産・農林業,プライム（内国株式）,JP,2025-05-31,神奈川県,4030.0,170306568192.0,0.98403275,19.104053,15.066546,8.949738580340815,0.2992,0.019680196,267.48,210.95,365.2200012116753,92920000000.0,12258000000.0,0.09742,9711000000.0,0.10678001,0.06309,0.844585466997581,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,97552800000.0,0.5728070328445645,4630.0,3300.0,0.8704,149100.0,150683.0,150405.0,0.9318,,,-0.053,,,,,,,,,,,
ホクト,1379,水産・農林業,プライム（内国株式）,JP,2025-03-31,長野県,1856.0,58132635648.0,0.93668634,,10.53827,16.73160454480746,0.284,0.02736727,176.12,,106.37999937711116,83104000000.0,6628000000.0,0.16868,4441000000.0,0.07396,0.107080005,0.5278479836461625,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-6330200000.0,-0.1088923619140565,2123.0,1717.0,0.8742,199500.0,72200.0,94117.0,2.398,,,0.001,,,,,,,,,,,
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,JP,2025-05-31,東京都,720.0,2191564800.0,5.8839393,,11.695907,28.760401293548927,0.0,0.0,61.56,,46.869999699982,1301771000.0,279617000.0,0.21733999,209170000.0,0.0,,0.8409387789823908,168282000.0,168279000.0,1020383000.0,,,,852101000.0,0.3888094023046911,1585.0,669.0,0.4543,3600.0,3666.0,7522.0,0.2015,,,,714.8,719.6,732.31,0.0073,0.0006,-0.0168,36.21,759.65,679.55,80.1,0.505
