company_name,ticker_code,industry,market,market_type,fiscal_period,prefecture,stock_price,market_cap,pbr,per_forward,per_trailing,per_previous,payout_ratio,dividend_yield,eps_trailing,eps_forward,eps_previous,revenue,operating_income,operating_margin,net_income,profit_margin,roe,equity_ratio,total_liabilities,current_liabilities,current_assets,total_debt,cash_and_equivalents,investment_securities,net_cash,net_cash_ratio,week52_high,week52_low,week52_high_ratio,volume_current,volume_avg_10d,volume_avg_90d,volume_surge_ratio,short_percent_float,short_ratio,beta,ma5,ma25,ma75,ma5_deviation,ma25_deviation,ma75_deviation,rsi14,bb_upper,bb_lower,bb_width,bb_pct_b
共同印刷,7914,その他製品,プライム（内国株式）,JP,2026-03-31,,1628.0,45008146432.0,0.6899492,,11.538734,10.76933136189164,0.55259997,0.048207663,141.09,,114.9704758596735,98205000000.0,2139000000.0,0.02893,3960000000.0,0.04032,0.061869998,0.5269262768475215,58541000000.0,29672000000.0,47113000000.0,10852000000.0,12438000000.0,17652000000.0,928400000.0,0.020627376899483334,1760.0,1291.0,0.925,61800.0,62170.0,71723.0,0.7222,,,0.576,,,,,,,,,,,
ＮＩＳＳＨＡ,7915,その他製品,プライム（内国株式）,JP,2025-12-31,,1331.0,63107297280.0,0.7075196,9.06367,62.961212,15.651252451398138,2.3663,0.011494253,21.14,146.85,79.92171117385216,194898000000.0,4400000000.0,0.0688,1001000000.0,0.01386,0.03286,0.461042699504238,132249000000.0,81041000000.0,116221000000.0,73797000000.0,39213000000.0,11075000000.0,-8275500000.0,-0.13113380475292,1710.0,1117.0,0.7784,150700.0,225020.0,241290.0,0.6466,,,0.681,,,,,,,,,,,
光村印刷,7916,その他製品,スタンダード（内国株式）,JP,2026-03-31,,1807.0,5535321600.0,0.30209693,,15.670801,57.60460761867733,0.4336,0.0275786,115.31,,23.035217966706124,14133164000.0,-69659000.0,-0.02003,353218000.0,0.02498,0.01989,0.6827183777149289,8312875000.0,3614532000.0,9913059000.0,2490449000.0,4064643000.0,5703384000.0,5592552800.0,1.010339272789498,2005.0,1364.0,0.9012,5800.0,2060.0,1603.0,3.5656,,,0.251,,,,,,,,,,,
ＺＡＣＲＯＳ,7917,化学,プライム（内国株式）,JP,2026-03-31,,1320.0,94205739008.0,0.9932138,3.480921,12.551108,2.626553089847788,0.3424,0.027692307,105.17,379.21,347.9999965892803,158535000000.0,11054000000.0,0.05487,7707000000.0,0.04861,0.08519,0.6071521962357533,52453000000.0,38087000000.0,80518000000.0,12326000000.0,14844000000.0,2871000000.0,30074700000.0,0.31924488164618126,1548.0,942.5,0.8527,179200.0,168910.0,159060.0,1.0353,,,0.632,,,,,,,,,,,
ヴィア・ホールディングス,7918,小売業,スタンダード（内国株式）,JP,2026-03-31,,109.0,4973199360.0,4.013698,,,-290.1375789473684,0.0,0.0,-11.23,,-0.42393681110268194,17405000000.0,-69000000.0,0.00424,-512000000.0,-0.02942,-0.42720002,0.1888229023907416,5327000000.0,3598000000.0,1936000000.0,2645000000.0,935000000.0,371000000.0,-3131300000.0,-0.6296349237847565,131.0,103.0,0.8321,72900.0,40590.0,44113.0,0.5277,,,-0.227,,,,,,,,,,,
野崎印刷紙業,7919,その他製品,スタンダード（内国株式）,JP,2026-03-31,,198.0,3196231936.0,0.6921141,,8.930987,5.703158895691704,0.33830002,0.03846154,22.17,,31.45433734939759,14016480000.0,516070000.0,0.0383,359230000.0,0.025610002,0.07756,0.4351605612096082,5752613000.0,4286646000.0,4552266000.0,3128570000.0,1398679000.0,328902000.0,-970115600.0,-0.30351852413253655,240.0,181.0,0.825,10400.0,7230.0,11571.0,0.7592,,,0.365,,,,,,,,,,,
ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,7921,その他製品,プライム（内国株式）,JP,2025-05-31,,4165.0,53760532480.0,1.7657268,,15.895126,14.18326604637928,0.4582,0.028301887,262.03,,231.76000215905052,29678785000.0,4048828000.0,0.21394,4075516000.0,0.108559996,0.10727999,0.7572823301779016,9331158000.0,7567975000.0,26111519000.0,208890000.0,19145987000.0,3206222000.0,19024716400.0,0.3538788684259699,4795.0,2783.0,0.8686,110600.0,69570.0,33328.0,3.4251,,,0.266,,,,,,,,,,,
三光産業,7922,その他製品,スタンダード（内国株式）,JP,,,717.0,5550296064.0,0.6186239,,48.544346,,,0.0,14.77,,,,,0.03946,,0.011039999,0.01285,,,,,,,,,,914.0,393.0,0.7845,31300.0,6250.0,37025.0,,,,-0.057,,,,,,,,,,,
トーイン,7923,その他製品,スタンダード（内国株式）,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前澤化成工業,7925,化学,プライム（内国株式）,JP,2025-03-31,,,28606861312.0,0.6610438,,14.903661,,0.5725,0.0,129.23,,,24166000000.0,2165000000.0,0.08599,1714000000.0,0.07387,0.044,0.8297829702811567,8389000000.0,6879000000.0,28409000000.0,330000000.0,12905000000.0,9629000000.0,26760300000.0,0.9354504049968808,2547.0,1737.0,,91500.0,53720.0,43645.0,,,,0.402,,,,,,,,,,,
ムトー精工,7927,化学,スタンダード（内国株式）,JP,2026-03-31,,2244.0,15586792448.0,0.74396425,,7.8453307,6.670874066535666,0.4021,0.051825147,286.03,,214.04931075775625,29688405000.0,2325748000.0,0.05071,1990482000.0,0.06703,0.09948,0.6434070580801454,10634273000.0,7531570000.0,20775055000.0,5107096000.0,10873709000.0,571739000.0,10540999300.0,0.676277645652012,2480.0,1519.0,0.9048,21800.0,15160.0,22136.0,0.8734,,,0.59,,,,,,,,,,,
旭化学工業,7928,化学,スタンダード（内国株式）,JP,2025-08-31,,639.0,1942094208.0,0.34785846,,26.803692,19.892236328170565,0.41889998,0.015898252,23.84,,29.980003951889266,8359845000.0,-45595000.0,0.00992,47133000.0,0.00878,0.013409999,0.792281889395201,1387170000.0,1196669000.0,3157478000.0,120000000.0,1596243000.0,224952000.0,1927774400.0,0.992626615155427,644.0,573.0,0.9922,11500.0,4290.0,4825.0,2.4245,,,0.483,,,,,,,,,,,
未来工業,7931,化学,プライム（内国株式）,JP,2026-03-31,,3215.0,51960127488.0,0.9370626,11.02916,11.054568,10.837997306888452,0.4987,0.04517134,290.83,291.5,299.6400042035159,45673000000.0,6727000000.0,0.122,4696000000.0,0.102819994,0.08715,0.8071677074690307,12435000000.0,9688000000.0,42950000000.0,178000000.0,21728000000.0,2214000000.0,32064800000.0,0.617103951629165,4045.0,2800.0,0.7948,19700.0,18770.0,43621.0,0.4935,,,0.175,,,,,,,,,,,
ニッピ,7932,その他製品,スタンダード（内国株式）,JP,2026-03-31,,12270.0,34355152896.0,0.83566815,,12.355624,11.755767245449864,0.70059997,0.05718981,993.07,,854.4600938967136,47252000000.0,4154000000.0,0.11807,2832000000.0,0.05993,0.070549995,0.5861877192482103,28201000000.0,12968000000.0,27246000000.0,10672000000.0,8754000000.0,6031000000.0,3266700000.0,0.0950861726591339,14650.0,10450.0,0.8375,3700.0,5760.0,7171.0,0.4286,,,0.667,,,,,,,,,,,
アシックス,7936,その他製品,プライム（内国株式）,JP,2025-12-31,,4579.0,3246107656192.0,10.261547,45.30972,33.234142,41.84759435872096,0.203,0.006076389,137.78,101.06,88.16999995148342,810916000000.0,142520000000.0,0.22483,98719000000.0,0.13019,0.40855,0.4633730050470604,313127000000.0,243726000000.0,409933000000.0,98529000000.0,112267000000.0,3707000000.0,99400900000.0,0.030621566050155872,5149.0,3425.0,0.8893,2846400.0,3489980.0,3611925.0,0.7974,,,0.995,,,,,,,,,,,
ツツミ,7937,その他製品,スタンダード（内国株式）,JP,2026-03-31,,2608.0,40754278400.0,0.5813404,,11.041491,16.838375726538896,0.48689997,0.0,236.2,,127.13999791044837,35225000000.0,5243000000.0,0.20194,3691000000.0,0.104779996,0.05353,0.9511559752523608,3600000000.0,3477000000.0,60032000000.0,,32225000000.0,82000000.0,56489400000.0,1.3860974164616788,3455.0,2196.0,0.7548,5000.0,9900.0,15850.0,0.2981,,,0.37,,,,,,,,,,,
リーガルコーポレーション,7938,その他製品,スタンダード（内国株式）,JP,2026-03-31,,2119.0,6314471424.0,0.4645155,,26.530611,10.659469714092145,0.9386,0.0,79.87,,219.20862554626007,22841000000.0,-377000000.0,0.0395,244000000.0,0.010679999,0.01847,0.495290878794465,13933000000.0,9673000000.0,14829000000.0,9685000000.0,3533000000.0,5555000000.0,4784500000.0,0.7577039594818824,2490.0,2040.0,0.851,1800.0,1480.0,2585.0,0.6294,,,0.024,,,,,,,,,,,
